!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
Internship Program,Singapore Institute of International Affairs,https://www.siiaonline.org/work-at-siia/,Singapore.Singapore,2024-10-31,1/1/2050,6. Career development: Policy & government,"- The SIIA internship program is an opportunity for tertiary students from diverse backgrounds to explore and develop a career in international relations, and gives them the chance to learn new skills. 
- Work alongside experts on international relations projects. 
- Assist in organising and managing events and workshops. 
- Contribute to research and analysis on global affairs. 
- Support marketing and outreach initiatives. ",Undergraduate degree or less,Entry-level,Policy,Internship,Not Found,http://www.siiaonline.org/,https://www.siiaonline.org/work-at-siia/,https://80000hours.org/wp-content/uploads/2024/10/singapore_institute_of_international_affairs_logo.jpeg,
Editorial Assistant,Slow Boring,https://open.substack.com/pub/matthewyglesias/p/come-work-with-us?r=2dxy0&utm_campaign=post&utm_medium=email,"""Washington, DC metro area.USA""",2025-04-11,1/1/2050,6. Career development: Policy & government,"* In this role, you'll provide editorial and administrative support for the Slow Boring newsletter in Washington, DC.
* Copy edit and schedule newsletters while moderating community comment sections.
* Create charts and graphics to accompany articles and research potential newsletter topics.
* Draft and schedule podcast show notes and episode releases.",Undergraduate degree or less,Entry-level,"Other, Policy",Full-time,"$55,000",https://www.slowboring.com/,,https://80000hours.org/wp-content/uploads/2025/04/slow_boring_logo.webp,
Traineeships,SolarPower Europe,https://www.solarpowereurope.org/about/careers/traineeship,"Brussels.Belgium,.Europe",2023-11-03,1/1/2050,6. Career development: Policy & government,"""As a trainee you will gain first-hand insight into SolarPower Europe’s activities and contribute to the associations work to make solar the leading contributor to Europe’s energy system. The tasks performed by you as a trainee are supervised and differ according to the unit you join. We have regular traineeship openings in policy, business development, market intelligence, events and communications.""",Undergraduate degree or less,Entry-level,"Policy, Outreach",Internship,Not Found,https://www.solarpowereurope.org/,https://www.solarpowereurope.org/about/careers,https://80000hours.org/wp-content/uploads/2023/11/solarpower_europe_logo.jpeg,
Volunteer,Taimaka,https://taimaka.org/work-with-us,.Global,2024-10-01,1/1/2050,A. Global health & development,"- As a volunteer, you'll pursue the most cost-effective development solutions and raise money to scale them.
- Potential projects include data analysis, fundraiser running, public health research, coding, and communications.",Undergraduate degree or less,Entry-level,"Research, Software engineering, Outreach",Volunteering,Not Found,https://taimaka.org/,https://taimaka.org/work-with-us,https://80000hours.org/wp-content/uploads/2024/07/taimaka_logo.jpeg,
Field Research Fellowship,Taimaka,https://docs.google.com/forms/d/e/1FAIpQLSdSZx0TZ1_wFfks9XC_nz0wuQ4h_QqY6K1OP7aZ1tPw299Guw/viewform,Gombe.Nigeria,2024-11-05,1/1/2050,A. Global health & development,"- In this role, a research fellow will assist the research director as Taimaka expands its research portfolio in Nigeria. 
- Conduct research to identify ways to make malnutrition treatment more cost-effective. 
- Participate in piloting a novel complementary food for treating moderate acute malnutrition. 
- Engage in an RCT of mass azithromycin distribution in the treatment of severe acute malnutrition. 
- Contribute to a long-term observational study on the correlates of relapse.",Undergraduate degree or less,Junior (1-4 years experience),Research,Fellowship,"$500 - $1,000 per month stipend",https://taimaka.org/,https://taimaka.org/work-with-us,https://80000hours.org/wp-content/uploads/2024/07/taimaka_logo.jpeg,
"Intern, Security and Intelligence, Security Analyst (Fall 2026)",Tesla,https://www.tesla.com/careers/search/job/271951?source=LinkedIn&source=LinkedIn,"""Austin, TX.USA""",2026-06-05,1/1/2050,D. Career development: Technical,"* In this role, you'll support Tesla's intellectual property protection through security analysis, threat detection, and investigations.
* Support IP protection programs and security awareness training initiatives.
* Conduct enhanced background reviews for candidates in high-impact roles.
* Support complex investigations into data loss, intellectual property theft, and technology misuse.
* Conduct comprehensive open-source intelligence research to identify security threats and trends.",Undergraduate degree or less,Entry-level,"Research, Information security",Internship,Not Found,https://www.tesla.com/,https://www.tesla.com/careers/search/,https://80000hours.org/wp-content/uploads/2019/12/tesla.png,
CyberFirst University Bursary,"UK Government, GCHQ",https://www.gchq-careers.co.uk/our-careers/early-careers/student-bursary.html,.UK,2024-06-19,1/1/2050,D. Career development: Technical,"-This is a £4,000 per university year bursary.
- Complete an eight-week summer placement to build knowledge and experience at the CyberFirst Academy.
- Alternatively, spend eight weeks working alongside industry and government at one of over 100 industry partners.
- Learn essential skills; coding proficiency is not a prerequisite for joining.
- Secure job placement assistance in the cyber security field after graduation.",Undergraduate degree or less,Entry-level,Information security,Full-time,"£4,000 bursary",https://www.gchq.gov.uk/,https://www.gchq-careers.co.uk/jobs.html,https://80000hours.org/wp-content/uploads/2019/06/UK-government-communication-headquarters.jpg,
Research Assistant,"University of Chicago, Development Innovation Lab",https://dil.uchicago.edu/opportunities/research-assistant-dil/?occurrence_id=0,"""Chicago, IL.USA""",2024-08-08,1/1/2050,D. Career development: Technical,"- In this role, you'll work on projects in the areas of education, agriculture, health, and vaccinations supported by the Development Innovation Lab.
- Assist researchers with literature reviews and systematic searches, drafting parts of such reviews.
- Clean data and help with preliminary analysis essential for research tasks.
- Write summaries of research projects and contribute to the drafting of project reports and policy memos.
- Support day-to-day administrative tasks, including transcribing and note-taking for key meetings with partner organisations.",Undergraduate degree or less,Entry-level,Research,Full-time,Not Found,https://bfi.uchicago.edu/development-innovation-lab/,https://bfi.uchicago.edu/development-innovation-lab-careers/,https://80000hours.org/wp-content/uploads/2019/12/iversity-of-chicago.png,
"Data Analyst, Air Quality Life Index","University of Chicago, Energy Policy Institute",https://aqli.epic.uchicago.edu/news/job-opportunity-data-analyst-air-quality-life-index-aqli/,Remote.India,2025-02-17,1/1/2050,A. Global health & development,"- In this role, you will assist with conducting underlying data analysis for reports and maintain a GitHub repository. 
- Implement the annual data pipeline process, processing raw satellite data into usable formats and applying calculations. 
- Maintain data in a ready-to-use format and update the open-access Github repository. 
- Perform analyses and generate figures for the annual report and other outreach activities. 
- Liaise with external partners, especially website developers, to advance the AQLI platform.",Undergraduate degree or less,Junior (1-4 years experience),Research,Full-time,Not Found,https://epic.uchicago.edu/,https://academicjobs.uchicago.edu/positions,https://80000hours.org/wp-content/uploads/2019/12/iversity-of-chicago.png,
Postdoctoral Fellow,"University of Texas at Austin, Center for Pandemic Decision Science",https://utaustin.wd1.myworkdayjobs.com/en-US/UTstaff/job/CFA-Postdoctoral-Fellow---Center-for-Pandemic-Decision-Science_R_00042531,"""Austin, TX.USA""",2026-04-14,1/1/2050,D. Career development: Technical,"* In this role, you'll lead the development and analysis of mathematical models to support early detection, forecasting, and mitigation of influenza and other infectious diseases.
* Develop outbreak modeling tools and training resources for public health professionals.
* Contribute to peer-reviewed publications and disseminate research findings.
* Engage directly with scientists and public health professionals to support outbreak preparedness efforts.
* Conduct time-sensitive analyses and collaborate with an interdisciplinary team on disease surveillance projects.",Doctoral degree,Junior (1-4 years experience),Research,Fellowship,"$70,000",https://www.centerforpandemicdecisionscience.org/,https://utaustin.wd1.myworkdayjobs.com/en-US/UTstaff/details/CFA-Data-Equity-Specialist_R_00030316?q=Pandemic+decision+science,https://80000hours.org/wp-content/uploads/2021/12/university-of-texas.png,
Jobs and Opportunities in Nuclear Fusion Energy Development,US Fusion Energy,https://usfusionenergy.org/opportunities,Various.USA,2025-01-15,1/1/2050,Z. Climate change,"""Find jobs in the fusion sector across the U.S, for example at companies like Helion Energy, Commonwealth Fusion Systems, and various national laboratories. Filter by region, education requirement, and opportunity type, including internships and apprenticeships.""",Undergraduate degree or less,Junior (1-4 years experience),"Engineering, Operations, Management, Research, Outreach",Full-time,Not Found,https://usfusionenergy.org/,https://usfusionenergy.org/opportunities,https://80000hours.org/wp-content/uploads/2024/01/us_fusion_energy_logo.jpeg,
"Intern, Business Advisory Services and Event Planning",US-China Business Council,https://www.uschina.org/business-advisory-services-and-event-planning-intern-beijing/,Beijing.China,2025-07-02,1/1/2050,6. Career development: Policy & government,"* In this role, you'll assist with research, analysis, and event planning at USCBC's Beijing office.
* Research and analyze China-related business issues using Chinese-language sources to provide English updates.
* Aid with written translations of materials between Chinese and English.
* Provide administrative and program support for the office.
* Collaborate with a small team in a fast-paced environment while managing multiple tasks simultaneously.",Undergraduate degree or less,Entry-level,"Policy, Operations",Internship,Not Found,https://www.uschina.org/,https://www.uschina.org/about/jobs,https://80000hours.org/wp-content/uploads/2021/11/us-china-business-council.jpeg,
